director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine,comb
Brannon Braga,Britt Robertson,Anna Friel,Rafi Gavron,Horror,books of blood,,Britt Robertson Anna Friel Rafi Gavron Brannon Braga Horror
Angel Manuel Soto,Jahi Di'Allo Winston,Meek Mill,Will Catlett,Drama,charm city kings,,Jahi Di'Allo Winston Meek Mill Will Catlett Angel Manuel Soto Drama
Tim Hill,Robert De Niro,Uma Thurman,Rob Riggle,Comedy,the war with grandpa,,Robert De Niro Uma Thurman Rob Riggle Tim Hill Comedy
Woody Allen,Timothée Chalamet,Elle Fanning,Selena Gomez,Comedy,a rainy day in new york,,Timothée Chalamet Elle Fanning Selena Gomez Woody Allen Comedy
Diane Paragas,Eva Noblezada,Dale Watson,Princess Punzalan,Drama,yellow rose,,Eva Noblezada Dale Watson Princess Punzalan Diane Paragas Drama
Radha Blank,Radha Blank,Peter Kim,Oswin Benjamin,Comedy,the 40-year-old version,,Radha Blank Peter Kim Oswin Benjamin Radha Blank Comedy
Zu Quirke,Sydney Sweeney,Madison Iseman,Jacques Colimon,Horror,nocturne,,Sydney Sweeney Madison Iseman Jacques Colimon Zu Quirke Horror
"Elan Dassani, Rajeev Dassani",Sarita Choudhury,Sunita Mani,Omar Maskati,Mystery,evil eye,,"Sarita Choudhury Sunita Mani Omar Maskati Elan Dassani, Rajeev Dassani Mystery"
Rachel Talalay,Tamara Smart,Oona Laurence,Tom Felton,Family,a babysitter's guide to monster hunting,,Tamara Smart Oona Laurence Tom Felton Rachel Talalay Family
Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,Comedy,love and monsters,,Dylan O'Brien Jessica Henwick Dan Ewing Michael Matthews Comedy
Mark Williams,Liam Neeson,Kate Walsh,Robert Patrick,Thriller,honest thief,,Liam Neeson Kate Walsh Robert Patrick Mark Williams Thriller
Justin Baldoni,Fin Argus,Sabrina Carpenter,Madison Iseman,Music,clouds,,Fin Argus Sabrina Carpenter Madison Iseman Justin Baldoni Music
Evan Morgan,Adam Brody,Sophie Nélisse,Tzi Ma,Comedy,the kid detective,,Adam Brody Sophie Nélisse Tzi Ma Evan Morgan Comedy
Johnny Martin,Tyler Posey,Summer Spiro,Robert Ri'chard,Thriller,alone,,Tyler Posey Summer Spiro Robert Ri'chard Johnny Martin Thriller
Lance Hool,Jacob Elordi,Adan Canto,Tiera Skovbye,Drama,2 hearts,,Jacob Elordi Adan Canto Tiera Skovbye Lance Hool Drama
Steve Byrne,Jimmy O. Yang,Alex Moffat,Cedric the Entertainer,Comedy,the opening act,,Jimmy O. Yang Alex Moffat Cedric the Entertainer Steve Byrne Comedy
Robert Zemeckis,Anne Hathaway,Octavia Spencer,Stanley Tucci,Family,the witches,,Anne Hathaway Octavia Spencer Stanley Tucci Robert Zemeckis Family
Glen Keane,Cathy Ang,Phillipa Soo,Ken Jeong,Animation,over the moon,,Cathy Ang Phillipa Soo Ken Jeong Glen Keane Animation
Roger Kumble,Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse,Romance,after we collided,,Josephine Langford Hero Fiennes Tiffin Dylan Sprouse Roger Kumble Romance
David Prior,James Badge Dale,Marin Ireland,Stephen Root,Horror,the empty man,,James Badge Dale Marin Ireland Stephen Root David Prior Horror
Kurt Wimmer,Elena Kampouris,Kate Moyer,Callan Mulvey,Horror,children of the corn,,Elena Kampouris Kate Moyer Callan Mulvey Kurt Wimmer Horror
Justin Simien,Elle Lorraine,Vanessa Williams,Jay Pharoah,TV Movie,bad hair,,Elle Lorraine Vanessa Williams Jay Pharoah Justin Simien TV Movie
Nicol Paone,Malin Åkerman,Kat Dennings,Aisha Tyler,Comedy,friendsgiving,,Malin Åkerman Kat Dennings Aisha Tyler Nicol Paone Comedy
Zoe Lister-Jones,Cailee Spaeny,Gideon Adlon,Lovie Simone,Horror,the craft: legacy,,Cailee Spaeny Gideon Adlon Lovie Simone Zoe Lister-Jones Horror
John Whitesell,Emma Roberts,Luke Bracey,Kristin Chenoweth,Comedy,holidate,,Emma Roberts Luke Bracey Kristin Chenoweth John Whitesell Comedy
Jacob Chase,Gillian Jacobs,John Gallagher Jr.,Azhy Robertson,Horror,come play,,Gillian Jacobs John Gallagher Jr. Azhy Robertson Jacob Chase Horror
Max Winkler,Charlie Hunnam,Jack O'Connell,Jessica Barden,Drama,jungleland,,Charlie Hunnam Jack O'Connell Jessica Barden Max Winkler Drama
Thomas Bezucha,Diane Lane,Kevin Costner,Lesley Manville,Drama,let him go,,Diane Lane Kevin Costner Lesley Manville Thomas Bezucha Drama
Andrea Di Stefano,Joel Kinnaman,Rosamund Pike,Common,Drama,the informer,,Joel Kinnaman Rosamund Pike Common Andrea Di Stefano Drama
Bryan Bertino,Marin Ireland,Michael Abbott Jr.,Xander Berkeley,Horror,the dark and the wicked,,Marin Ireland Michael Abbott Jr. Xander Berkeley Bryan Bertino Horror
Ron Howard,Amy Adams,Glenn Close,Gabriel Basso,Drama,hillbilly elegy,,Amy Adams Glenn Close Gabriel Basso Ron Howard Drama
David Fincher,Gary Oldman,Amanda Seyfried,Lily Collins,Drama,mank,,Gary Oldman Amanda Seyfried Lily Collins David Fincher Drama
Christopher Landon,Vince Vaughn,Kathryn Newton,Katie Finneran,Horror,freaky,,Vince Vaughn Kathryn Newton Katie Finneran Christopher Landon Horror
David E. Talbert,Forest Whitaker,Keegan-Michael Key,Hugh Bonneville,Family,jingle jangle: a christmas journey,,Forest Whitaker Keegan-Michael Key Hugh Bonneville David E. Talbert Family
Miles Joris-Peyrafitte,Finn Cole,Margot Robbie,Travis Fimmel,Thriller,dreamland,,Finn Cole Margot Robbie Travis Fimmel Miles Joris-Peyrafitte Thriller
"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,Action,fatman,,"Mel Gibson Walton Goggins Marianne Jean-Baptiste Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste Action"
Edoardo Ponti,Sophia Loren,Ibrahima Gueye,Abril Zamora,Drama,the life ahead,,Sophia Loren Ibrahima Gueye Abril Zamora Edoardo Ponti Drama
Michael Angelo Covino,Kyle Marvin,Michael Angelo Covino,Gayle Rankin,Documentary,the climb,,Kyle Marvin Michael Angelo Covino Gayle Rankin Michael Angelo Covino Documentary
Paul Leyden,Malin Åkerman,Bella Thorne,Fortune Feimster,Action,chick fight,,Malin Åkerman Bella Thorne Fortune Feimster Paul Leyden Action
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Family,the princess switch: switched again,,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl Family
Aneesh Chaganty,Sarah Paulson,Kiera Allen,Pat Healy,Thriller,run,,Sarah Paulson Kiera Allen Pat Healy Aneesh Chaganty Thriller
Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Drama,sound of metal,,Riz Ahmed Olivia Cooke Paul Raci Darius Marder Drama
Dan Friedkin,Guy Pearce,Claes Bang,Vicky Krieps,Drama,the last vermeer,,Guy Pearce Claes Bang Vicky Krieps Dan Friedkin Drama
Dimitri Logothetis,Alain Moussi,Frank Grillo,JuJu Chan,Fantasy,jiu jitsu,,Alain Moussi Frank Grillo JuJu Chan Dimitri Logothetis Fantasy
Josh Duhamel,Josh Duhamel,Dax Shepard,Olivia Munn,Comedy,buddy games,,Josh Duhamel Dax Shepard Olivia Munn Josh Duhamel Comedy
Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,Family,the croods: a new age,,Nicolas Cage Emma Stone Ryan Reynolds Joel Crawford Family
Clea DuVall,Kristen Stewart,Mackenzie Davis,Alison Brie,Romance,happiest season,,Kristen Stewart Mackenzie Davis Alison Brie Clea DuVall Romance
George C. Wolfe,Viola Davis,Chadwick Boseman,Glynn Turman,Drama,ma rainey's black bottom,,Viola Davis Chadwick Boseman Glynn Turman George C. Wolfe Drama
Chris Columbus,Kurt Russell,Goldie Hawn,Darby Camp,Family,the christmas chronicles 2,,Kurt Russell Goldie Hawn Darby Camp Chris Columbus Family
Alan Ball,Paul Bettany,Sophia Lillis,Peter Macdissi,Drama,uncle frank,,Paul Bettany Sophia Lillis Peter Macdissi Alan Ball Drama
Taylor Swift,Taylor Swift,Jack Antonoff,Aaron Dessner,Music,folklore: the long pond studio sessions,,Taylor Swift Jack Antonoff Aaron Dessner Taylor Swift Music
Ben Falcone,Melissa McCarthy,Bobby Cannavale,Brian Tyree Henry,Comedy,superintelligence,,Melissa McCarthy Bobby Cannavale Brian Tyree Henry Ben Falcone Comedy
Mitja Okorn,Jaden Smith,Cara Delevingne,Cuba Gooding Jr.,Drama,life in a year,,Jaden Smith Cara Delevingne Cuba Gooding Jr. Mitja Okorn Drama
Ashley Avis,Mackenzie Foy,Kate Winslet,Claire Forlani,Drama,black beauty,,Mackenzie Foy Kate Winslet Claire Forlani Ashley Avis Drama
Ryan Murphy,Meryl Streep,James Corden,Jo Ellen Pellman,Comedy,the prom,,Meryl Streep James Corden Jo Ellen Pellman Ryan Murphy Comedy
Marc Meyers,Jessica Rothe,Harry Shum Jr.,Kyle Allen,Romance,all my life,,Jessica Rothe Harry Shum Jr. Kyle Allen Marc Meyers Romance
Sharon Maguire,Isla Fisher,Jillian Bell,Santiago Cabrera,Family,godmothered,,Isla Fisher Jillian Bell Santiago Cabrera Sharon Maguire Family
April Mullen,Aaron Eckhart,Katheryn Winnick,Heather Graham,Thriller,wander,,Aaron Eckhart Katheryn Winnick Heather Graham April Mullen Thriller
Lawrence Michael Levine,Aubrey Plaza,Christopher Abbott,Sarah Gadon,Drama,black bear,,Aubrey Plaza Christopher Abbott Sarah Gadon Lawrence Michael Levine Drama
Steven Soderbergh,Meryl Streep,Candice Bergen,Gemma Chan,Comedy,let them all talk,,Meryl Streep Candice Bergen Gemma Chan Steven Soderbergh Comedy
George Clooney,George Clooney,Felicity Jones,David Oyelowo,Science Fiction,the midnight sky,,George Clooney Felicity Jones David Oyelowo George Clooney Science Fiction
Adam Mason,KJ Apa,Sofia Carson,Craig Robinson,Thriller,songbird,,KJ Apa Sofia Carson Craig Robinson Adam Mason Thriller
John Patrick Shanley,Emily Blunt,Jamie Dornan,Jon Hamm,Romance,wild mountain thyme,,Emily Blunt Jamie Dornan Jon Hamm John Patrick Shanley Romance
Reginald Hudlin,Jay Reeves,Thaddeus J. Mixson,Corinne Foxx,Family,safety,,Jay Reeves Thaddeus J. Mixson Corinne Foxx Reginald Hudlin Family
Tara Miele,Sienna Miller,Diego Luna,Beth Grant,Romance,wander darkly,,Sienna Miller Diego Luna Beth Grant Tara Miele Romance
Julia Hart,Rachel Brosnahan,Arinzé Kene,Marsha Stephanie Blake,Drama,i'm your woman,,Rachel Brosnahan Arinzé Kene Marsha Stephanie Blake Julia Hart Drama
Jamie Babbit,Drew Barrymore,Michael Zegen,T.J. Miller,Comedy,the stand in,,Drew Barrymore Michael Zegen T.J. Miller Jamie Babbit Comedy
Adam Egypt Mortimer,Joe Manganiello,Skylan Brooks,Zolee Griggs,Action,archenemy,,Joe Manganiello Skylan Brooks Zolee Griggs Adam Egypt Mortimer Action
Ekwa Msangi,Ntare Mwine,Zainab Jah,Jayme Lawson,Romance,farewell amor,,Ntare Mwine Zainab Jah Jayme Lawson Ekwa Msangi Romance
Paul W. S. Anderson,Milla Jovovich,Tony Jaa,"Tip ""T.I."" Harris",Fantasy,monster hunter,,"Milla Jovovich Tony Jaa Tip ""T.I."" Harris Paul W. S. Anderson Fantasy"
Ric Roman Waugh,Gerard Butler,Morena Baccarin,David Denman,Action,greenland,,Gerard Butler Morena Baccarin David Denman Ric Roman Waugh Action
Deon Taylor,Hilary Swank,Michael Ealy,Mike Colter,Thriller,fatale,,Hilary Swank Michael Ealy Mike Colter Deon Taylor Thriller
Liam O'Donnell,Lindsey Morgan,Jonathan Howard,Daniel Bernhardt,Science Fiction,skylines,,Lindsey Morgan Jonathan Howard Daniel Bernhardt Liam O'Donnell Science Fiction
Shawn Linden,Devon Sawa,Camille Sullivan,Nick Stahl,Horror,hunter hunter,,Devon Sawa Camille Sullivan Nick Stahl Shawn Linden Horror
Eugene Ashe,Tessa Thompson,Nnamdi Asomugha,Ryan Michelle Bathe,Drama,sylvie's love,,Tessa Thompson Nnamdi Asomugha Ryan Michelle Bathe Eugene Ashe Drama
Patty Jenkins,Gal Gadot,Chris Pine,Kristen Wiig,Fantasy,wonder woman 1984,,Gal Gadot Chris Pine Kristen Wiig Patty Jenkins Fantasy
Pete Docter,Jamie Foxx,Tina Fey,Graham Norton,Family,soul,,Jamie Foxx Tina Fey Graham Norton Pete Docter Family
Robert Rodriguez,Priyanka Chopra Jonas,Pedro Pascal,YaYa Gosselin,Action,we can be heroes,,Priyanka Chopra Jonas Pedro Pascal YaYa Gosselin Robert Rodriguez Action
Regina King,Kingsley Ben-Adir,Eli Goree,Aldis Hodge,Drama,one night in miami...,,Kingsley Ben-Adir Eli Goree Aldis Hodge Regina King Drama
Emerald Fennell,Carey Mulligan,Bo Burnham,Alison Brie,Thriller,promising young woman,,Carey Mulligan Bo Burnham Alison Brie Emerald Fennell Thriller
Kornél Mundruczó,Vanessa Kirby,Shia LaBeouf,Molly Parker,Drama,pieces of a woman,,Vanessa Kirby Shia LaBeouf Molly Parker Kornél Mundruczó Drama
